2023-10-30 00:23:02: Script ID = 156, Function = OnSelection took 102ms to be processed
2023-10-30 14:05:41: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:05:41: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:05:42: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:05:43: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:11:48: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:11:49: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:14:16: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:14:57: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 14:14:58: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:02:18: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:02:20: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:03:04: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:03:06: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:04:05: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:04:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:06:19: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:30:45: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:30:49: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:31:16: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:31:16: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:31:17: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:31:18: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:32:17: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:32:54: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:32:54: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:32:55: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:32:56: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:34:49: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:34:49: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:34:50: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:34:50: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:37:18: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 16:50:39: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:50:41: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:50:42: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:51:20: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:51:47: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:52:23: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:53:02: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:57:22: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:57:24: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:58:50: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 16:58:52: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:00:52: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:00:56: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:44:41: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 17:44:42: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 17:45:10: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:15: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:15: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:18: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:19: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:22: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:23: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:27: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:29: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:48: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:51: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:45:55: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:46:18: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:47:15: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:48:28: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 17:48:59: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 17:49:00: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 17:53:43: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 17:56:36: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 17:56:39: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 18:19:33: Script ID = 17, Function = OnSelection took 151ms to be processed
2023-10-30 18:57:54: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 18:57:55: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 18:57:55: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 18:57:56: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:07:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:07:36: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:07:36: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:07:37: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:07:38: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:10:32: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:10:33: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:10:34: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:10:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:10:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:10:37: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:10:37: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 19:10:38: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 20:08:22: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 20:08:24: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 20:09:34: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 20:09:35: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 20:10:07: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 20:36:37: [ERROR] Lua Script not found, ID = '-1'
2023-10-30 20:50:21: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 20:50:23: [ERROR] Lua Script not found, ID = '5000'
2023-10-30 20:50:34: [ERROR] Lua Script not found, ID = '5000'
