2023-10-29 01:42:04: [TRADE] server=1 source=8020_testtdc30 srcPlayer=203415 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:116200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.19.110 texp=171.242.16.82 friendDegree=0
2023-10-29 01:42:17: [TRADE] server=1 source=8023_testtdc29 srcPlayer=203432 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=116.97.60.206 texp=171.242.16.82 friendDegree=0
2023-10-29 01:42:34: [TRADE] server=1 source=8019_testtdc28 srcPlayer=203431 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:116200 map=23 sviplevel=0 tviplevel=0 sexp=171.233.18.69 texp=171.242.16.82 friendDegree=0
2023-10-29 01:42:39: [TRADE] server=1 source=10406_nam100n85 srcPlayer=203742 target=10407_nam100n83 dstPlayer=203871 in= out=-100:55000 map=5 sviplevel=0 tviplevel=0 sexp=103.138.109.217 texp=103.138.109.217 friendDegree=0
2023-10-29 01:42:46: [TRADE] server=1 source=8016_testtdc27 srcPlayer=203429 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.233.16.77 texp=171.242.16.82 friendDegree=0
2023-10-29 01:42:57: [TRADE] server=1 source=8022_testtdc26 srcPlayer=203441 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.20.102 texp=171.242.16.82 friendDegree=0
2023-10-29 01:43:10: [TRADE] server=1 source=8024_testtdc25 srcPlayer=203410 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:106200 map=23 sviplevel=0 tviplevel=0 sexp=171.234.26.195 texp=171.242.16.82 friendDegree=0
2023-10-29 01:43:36: [TRADE] server=1 source=8025_testtdc24 srcPlayer=203420 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:176200 map=23 sviplevel=0 tviplevel=0 sexp=171.242.16.82 texp=171.242.16.82 friendDegree=0
2023-10-29 01:43:46: [TRADE] server=1 source=8018_testtdc23 srcPlayer=203424 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.245.96.78 texp=171.242.16.82 friendDegree=0
2023-10-29 01:43:56: [TRADE] server=1 source=8013_testtdc22 srcPlayer=203414 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:181200 map=23 sviplevel=0 tviplevel=0 sexp=116.107.19.197 texp=171.242.16.82 friendDegree=0
2023-10-29 01:44:06: [TRADE] server=1 source=8007_testtdc15 srcPlayer=203436 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:176200 map=23 sviplevel=0 tviplevel=0 sexp=171.233.16.77 texp=171.242.16.82 friendDegree=0
2023-10-29 01:44:14: [TRADE] server=1 source=8008_testtdc16 srcPlayer=203409 target=7458_linkvnpt01 dstPlayer=203586 in= out=-100:51200 map=23 sviplevel=0 tviplevel=0 sexp=171.233.18.69 texp=171.242.16.82 friendDegree=0
2023-10-29 01:44:24: [TRADE] server=1 source=10403_nam100n80 srcPlayer=203867 target=10406_nam100n85 dstPlayer=203742 in= out=10127:2 map=5 sviplevel=0 tviplevel=0 sexp=171.239.214.58 texp=103.138.109.217 friendDegree=0
