2023-10-28 17:01:41: [200097][<color=#0486dc>[GM]</color> ThieuLan][5|5283|3306]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :15111000| ĐỒNG KHÓA :200000
2023-10-28 17:28:59: [200114][<color=#0486dc>[GM]</color> dfkhiq212][255|1705|1932]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14978800| ĐỒNG KHÓA :0
2023-10-28 17:34:26: [200117][<color=#0486dc>[GM]</color> VaiClin][23|3093|4105]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :15110600| ĐỒNG KHÓA :0
2023-10-28 17:40:42: [200103][<color=#0486dc>[GM]</color> 222222222222][5|5201|3414]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :2400| ĐỒNG  :4949600| ĐỒNG KHÓA :0
2023-10-28 17:54:49: [200119][<color=#0486dc>[GM]</color> aDfsdafs][255|1782|1898]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14808600| ĐỒNG KHÓA :0
2023-10-28 18:00:03: [200103][<color=#0486dc>[GM]</color> 222222222222][255|2042|1787]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5002400| ĐỒNG  :9789200| ĐỒNG KHÓA :5000000
2023-10-28 18:05:28: [200106][<color=#0486dc>[GM]</color> 111111111111][255|1746|1932]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5100000| ĐỒNG  :9738200| ĐỒNG KHÓA :5000000
2023-10-28 18:11:22: [200103][<color=#0486dc>[GM]</color> 222222222222][255|1778|1909]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5002400| ĐỒNG  :9648200| ĐỒNG KHÓA :5000000
2023-10-28 18:20:46: [200119][<color=#0486dc>[GM]</color> aDfsdafs][255|1782|1898]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14808600| ĐỒNG KHÓA :0
2023-10-28 18:45:23: [200114][<color=#0486dc>[GM]</color> dfkhiq212][255|1785|1901]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14628600| ĐỒNG KHÓA :0
2023-10-28 18:49:17: [200106][<color=#0486dc>[GM]</color> 111111111111][255|1746|1932]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5100000| ĐỒNG  :9498200| ĐỒNG KHÓA :5000000
2023-10-28 18:56:03: [200119][<color=#0486dc>[GM]</color> aDfsdafs][255|1792|1915]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :14548600| ĐỒNG KHÓA :0
2023-10-28 19:07:32: [200097][<color=#0486dc>[GM]</color> ThieuLan][5|5283|3306]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :15018800| ĐỒNG KHÓA :200000
2023-10-28 19:10:40: [200103][<color=#0486dc>[GM]</color> 222222222222][255|1789|1881]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5002400| ĐỒNG  :9498200| ĐỒNG KHÓA :5000000
2023-10-28 19:12:16: [200103][<color=#0486dc>[GM]</color> 222222222222][255|1789|1881]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5002400| ĐỒNG  :9498200| ĐỒNG KHÓA :5000000
2023-10-28 19:42:25: [200106][<color=#0486dc>[GM]</color> 111111111111][255|1746|1931]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5100000| ĐỒNG  :9448200| ĐỒNG KHÓA :5000000
2023-10-28 20:10:54: [200121][<color=#0486dc>[GM]</color> MeGaiMaiGu][8|5290|3738]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :5000000| BẠC KHÓA :5100000| ĐỒNG  :4917600| ĐỒNG KHÓA :5000000
2023-10-28 18:48:25: [200001][AdminHaoKiem][5|5208|3394]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 18:48:28: [200002][KTHaoKiem][5|4158|3557]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 18:54:43: [200001][AdminHaoKiem][5|5159|3291]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:14:25: [200005][LongDe][1|5815|3915]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:21:33: [200001][<color=#0486dc>[GM]</color> AdminHaoKiem][5|5403|3377]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:23:25: [200001][<color=#0486dc>[GM]</color> AdminHaoKiem][5|5377|3318]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:27:58: [200005][LongDe][5|3950|3250]  HOẠT LỰC :1000 | TINH LỰC :500| BẠC :0| BẠC KHÓA :107095| ĐỒNG  :0| ĐỒNG KHÓA :1000
2023-10-28 19:28:56: [200008][giovohinh][5|7141|2607]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :70000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:31:06: [200023][NgaoTuyet][5|5205|3461]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:31:26: [200018][Jinbaby][8|7100|3061]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:31:58: [200014][0oTieuViemo0][8|5005|3858]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:32:12: [200043][QuanDoLa][5|5090|3270]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:32:33: [200054][TieuMaoTac][5|4912|3462]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:32:50: [200026][AMapS1][5|8030|3330]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :30000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:33:17: [200051][ToiLaAi][8|5884|3675]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:33:19: [200019][XoGann][30|3505|2039]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :1348| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:33:21: [200017][VuiVe94][5|8081|3360]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :90000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:33:35: [200045][KingCua][5|5344|3410]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:34:08: [200053][tuanvu][3|4186|4077]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:34:25: [200109][Phpngkiet][5|5241|3414]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:35:19: [200044][ConCuInox][5|5237|3427]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :200000| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-28 19:35:54: [200044][ConCuInox][5|5233|3414]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :200000| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-28 19:36:25: [200036][KiepVeSau][5|5768|2015]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :200000| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-28 19:36:33: [200056][BaoCaoSu][5|5120|3316]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:36:42: [200006][KhatMau][5|4910|3430]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :202435| ĐỒNG  :0| ĐỒNG KHÓA :4100
2023-10-28 19:36:59: [200039][vodanh][5|5273|4180]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100100| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:37:23: [200009][DaSuocMom][34|7067|1016]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :131868| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-28 19:37:23: [200130][ConChymInox][5|5227|3463]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:37:26: [200034][androi17][5|5720|2900]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :200000| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-28 19:37:35: [200011][ZzLongzZ][5|5330|4330]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :50069| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:37:44: [200120][VuiVe89][5|8105|3345]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :23000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:37:49: [200030][zZMapKaZz][3|3468|3079]  HOẠT LỰC :3500 | TINH LỰC :500| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:38:12: [200071][HAISENOO][8|6186|3537]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:38:14: [200133][MayHaBuoi][3|6653|3487]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:38:22: [200136][ConChimInox][5|5215|3430]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:38:27: [200138][HaoKiemMobi][5|5090|3270]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :0| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:38:33: [200020][KiemVoDanh][5|5595|2580]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :70000| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-28 19:38:37: [200118][cuchinguoc][8|6019|3418]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:39:03: [200028][Backieuphong][1|3520|3240]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100099| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:39:04: [200052][Dantuyet][115|9372|2178]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :101343| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-28 19:39:28: [200142][ConKuInox][5|5187|3435]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
